URI,Citation URI,Item Label,Project Label,Project URI,Context (1),Context (2),Context (3),Context (4),Context URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Item Category,Published Date,Updated Date,Has Biological Taxonomy,Has taxonomic identifier,Has anatomical identification,Has fusion character,Has physiological sex determination,Archaeological Horizon,Articulation,Completeness Of Element,Completeness Of Portion,Fragmentation,Fusion Distal,Fusion Proximal,Osteo Id,Pathology,Proximaldistal,Sex,Symmetry,Taxonomic Id,Principal Author / Analyst,Number Of Elements,Number Of Fragments
"http://opencontext.org/subjects/F431B1DD-E5D3-4AED-E985-13CE39450D90","https://n2t.net/ark:/28722/k27d2vm41","Bone G1420-2","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square G14","http://opencontext.org/subjects/D7F3719B-C90B-44CB-E19A-5A82CBA55B99","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:53:41Z","Ovis orientalis","Ovis orientalis","mandible","","","20","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Left","Ovis orientalis","Levent Atici","1","1"
"http://opencontext.org/subjects/BE100573-D05C-4C62-C97E-482BD92EDD80","https://n2t.net/ark:/28722/k2zs2qs00","Bone G1420-5","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square G14","http://opencontext.org/subjects/D7F3719B-C90B-44CB-E19A-5A82CBA55B99","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:53:41Z","Ovis orientalis","Ovis orientalis","mandible","","","20","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Left","Ovis orientalis","Levent Atici","1","1"
"http://opencontext.org/subjects/7319B60F-975C-4A8E-138C-6D383360C45A","https://n2t.net/ark:/28722/k2vt1n26p","Bone G1218-142","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square G12","http://opencontext.org/subjects/F184C346-EA55-474C-578A-716DC88263B1","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:50:04Z","Sheep/goat","Sheep or goat","mandible","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Right","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/E797B85D-6634-42F9-F9FD-4CE8C00FD8CE","https://n2t.net/ark:/28722/k2891630d","Bone D1418-480","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square D14","http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:43:47Z","Ovis orientalis","Ovis orientalis","mandible","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Right","Ovis orientalis","Levent Atici","1","1"
"http://opencontext.org/subjects/5CEDCDDA-C910-454D-E71F-D482AA3E5963","https://n2t.net/ark:/28722/k2w091t5p","Bone D1418-483","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square D14","http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:43:47Z","Ovis orientalis","Ovis orientalis","mandible","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Right","Ovis orientalis","Levent Atici","2","2"
"http://opencontext.org/subjects/2DA54ED8-94CA-464D-FB4A-4A44675512AB","https://n2t.net/ark:/28722/k2gt5ks7v","Bone D1418-484","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square D14","http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:43:47Z","Ovis orientalis","Ovis orientalis","mandible","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","Malocclusion","Not applicable","Nonidentified","Right","Ovis orientalis","Levent Atici","1","1"
"http://opencontext.org/subjects/91810580-A7B5-4587-C32C-C46CD8CF048D","https://n2t.net/ark:/28722/k2kh0kb0k","Bone F1419-192","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square F14","http://opencontext.org/subjects/51B32DE9-7BD2-4103-5716-4438EE4CE3BA","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:47:17Z","Ovis orientalis","Ovis orientalis","mandible","","","19","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Left","Ovis orientalis","Levent Atici","1","1"
"http://opencontext.org/subjects/9F68E54F-FB4E-4249-00E1-A598F73167AC","https://n2t.net/ark:/28722/k22j6dg84","Bone F1419-195","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square F14","http://opencontext.org/subjects/51B32DE9-7BD2-4103-5716-4438EE4CE3BA","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:47:18Z","Sheep/goat","Sheep or goat","mandible","","","19","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Right","Ovis/Capra","Levent Atici","1","1"
"http://opencontext.org/subjects/725DD21B-725D-4A71-B5E2-781A9B0ED60A","https://n2t.net/ark:/28722/k29s1qw8x","Bone D1418-13","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square D14","http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:42:41Z","Ovis orientalis","Ovis orientalis","mandible","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Not applicable","Left","Ovis orientalis","Levent Atici","1","1"
"http://opencontext.org/subjects/60AB1FDF-3FD1-44E5-51EE-57419096C7A6","https://n2t.net/ark:/28722/k2jd4v21z","Bone F1420-730","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square F14","http://opencontext.org/subjects/51B32DE9-7BD2-4103-5716-4438EE4CE3BA","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:49:00Z","Ovis orientalis","Ovis orientalis","mandible","","","20","Separate","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Right","Ovis orientalis","Levent Atici","1","1"
"http://opencontext.org/subjects/B1D07622-FF9B-44F4-637A-65441EF0D745","https://n2t.net/ark:/28722/k2736rf1h","Bone G1218-147","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square G12","http://opencontext.org/subjects/F184C346-EA55-474C-578A-716DC88263B1","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:50:04Z","Ovis orientalis","Ovis orientalis","mandible","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Right","Ovis orientalis","Levent Atici","1","1"
"http://opencontext.org/subjects/A67ED752-6DD5-401B-A1E9-B56A55D7AB52","https://n2t.net/ark:/28722/k29z94q2h","Bone F1419-193","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square F14","http://opencontext.org/subjects/51B32DE9-7BD2-4103-5716-4438EE4CE3BA","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:47:17Z","Ovis orientalis","Ovis orientalis","mandible","","","19","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Right","Ovis orientalis","Levent Atici","1","1"
"http://opencontext.org/subjects/023A5447-2F24-4F08-637F-AEA9900D5165","https://n2t.net/ark:/28722/k2br8rv14","Bone G1218-148","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square G12","http://opencontext.org/subjects/F184C346-EA55-474C-578A-716DC88263B1","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:50:05Z","Capra aegagrus","Capra aegagrus","mandible","","","18","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Left","Capra aegagrus","Levent Atici","1","1"
"http://opencontext.org/subjects/568CD29B-353B-4386-28A8-183A09D8D8FA","https://n2t.net/ark:/28722/k2kd1vw9r","Bone D1417-4","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square D14","http://opencontext.org/subjects/66B51001-8FEF-420D-D94A-ABB0F85B7A98","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:42:05Z","Ovis orientalis","Ovis orientalis","mandible","","","17","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Left","Ovis orientalis","Levent Atici","1","1"
"http://opencontext.org/subjects/28135BD4-C7A5-4900-8341-E87E5ABB6380","https://n2t.net/ark:/28722/k2xs5pv5q","Bone F1419-198","Zooarchaeology of Karain Cave B","http://opencontext.org/projects/731B0670-CE2A-414A-8EF6-9C050A1C60F5","Turkey","Karain B Cave","PI.2","Square F14","http://opencontext.org/subjects/51B32DE9-7BD2-4103-5716-4438EE4CE3BA","37.077589","30.5708","-17850","-17050","Animal Bone","2013-02-25T00:00:00Z","2020-03-28T05:47:18Z","Sheep/goat","Sheep or goat","mandible","","","19","Separate","Nonidentified","Not applicable","Not applicable","Not applicable","Not applicable","Mandible with teeth","No pathology","Not applicable","Nonidentified","Left","Ovis/Capra","Levent Atici","0","1"
