URI,Citation URI,Item Label,Project Label,Project URI,Context (1),Context (2),Context (3),Context (4),Context (5),Context URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Item Category,Published Date,Updated Date,Has Biological Taxonomy,Has taxonomic identifier,Has anatomical identification,Has fusion character,Has physiological sex determination,Archaeological Horizon,Articulation,Completeness Of Element,Completeness Of Portion,Fusion Distal,Fusion Proximal,Osteo Id,Pathology,Proximaldistal,Sex,Symmetry,Taxonomic Id,Principal Author / Analyst,Fragmentation,Number Of Elements,Number Of Fragments
http://opencontext.org/subjects/58A72B27-20E8-4493-B53B-9D9EF0EB3A59,https://n2t.net/ark:/28722/k2rb6w64j,Bone J5c21-3,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VII,Square J5c,,http://opencontext.org/subjects/B48DEDB5-2C3E-45D1-B541-319DC56A74C2,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-26T00:00:00Z,2020-03-28T05:58:00Z,Ovis orientalis,Ovis orientalis,mandible,,,21,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Right,Ovis orientalis,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/6200F9E9-6C95-4DE9-7D8C-B7E3D7A2D84C,https://n2t.net/ark:/28722/k2qv3hh8p,Bone L5d15-22,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,IV,Square L5d,,http://opencontext.org/subjects/94D41961-D8D2-47B8-9285-CACA72E6354E,37.08335,30.579436,-12500,-12100,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T06:06:05Z,Capra aegagrus,Capra aegagrus,mandible,,,15,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Left,Capra aegagrus,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/0C7F9F8F-0F70-4164-DF14-79C92A20C74D,https://n2t.net/ark:/28722/k26q1sn7h,Bone J5c13-4,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,IV,Square J5c,,http://opencontext.org/subjects/3E32E44C-5462-4829-CA07-6AB4499B0FFC,37.08335,30.579436,-12500,-12100,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:57:34Z,"Dama dama (Linnaeus, 1758)",Dama dama,mandible,,,13,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Right,Dama dama,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/9818063B-4DCC-4F45-AD2B-E3697AA5155D,https://n2t.net/ark:/28722/k2ks6pj6f,Bone I7d22-51,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VI,Square I7d,,http://opencontext.org/subjects/5CDBFAFC-B739-4273-70FA-ED64650135ED,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:55:30Z,Ovis orientalis,Ovis orientalis,mandible,,,22,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Left,Ovis orientalis,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/CD021A8E-AD25-4A75-2722-07E377A4B379,https://n2t.net/ark:/28722/k26w9bp7b,Bone J5c19-20,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VI,Square J5c,,http://opencontext.org/subjects/9884D9D9-BC4A-4022-8706-7C3F6EF9C545,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:57:52Z,"Dama dama (Linnaeus, 1758)",Dama dama,mandible,,,19,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Right,Dama dama,Levent Atici,Not applicable,0,1
http://opencontext.org/subjects/CE1E9972-1C1C-4CA0-B8F1-EF8905076258,https://n2t.net/ark:/28722/k2fn10x8j,Bone J5d14-15,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,IV,Square J5d,,http://opencontext.org/subjects/A2DE2FBE-F9C1-48DA-9AE5-E84A82E2280F,37.08335,30.579436,-12500,-12100,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:58:42Z,"Dama dama (Linnaeus, 1758)",Dama dama,mandible,,,14,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Right,Dama dama,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/9562F20A-DFFD-4CC4-689F-9CACFE91351D,https://n2t.net/ark:/28722/k29c6s48n,Bone J5d24-1,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VIII,Square J5d,,http://opencontext.org/subjects/7DF66577-448D-4EA6-AF6E-71151315C7A3,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-26T00:00:00Z,2020-03-28T05:59:09Z,Ovis orientalis,Ovis orientalis,mandible,,,24,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Right,Ovis orientalis,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/001389F8-3A10-4ABB-AC88-44BDD00B85D0,https://n2t.net/ark:/28722/k23b61p0n,Bone J5c18-30,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VI,Square J5c,,http://opencontext.org/subjects/9884D9D9-BC4A-4022-8706-7C3F6EF9C545,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:57:48Z,Sheep/goat,Sheep or goat,mandible,,,18,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Right,Ovis/Capra,Levent Atici,Not applicable,0,1
http://opencontext.org/subjects/CC086022-658D-46B9-6132-485484A33C72,https://n2t.net/ark:/28722/k2kk98s56,Bone J5d19-16,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VI,Square J5d,,http://opencontext.org/subjects/22CE88AD-4417-4AA7-1930-94E3A93DBB8D,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:58:53Z,Sheep/goat,Sheep or goat,mandible,,,19,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Right,Ovis/Capra,Levent Atici,Not applicable,0,1
http://opencontext.org/subjects/F6C6F591-32C5-45B2-FC48-D09F0D6EF011,https://n2t.net/ark:/28722/k2086391d,Bone J5d16-2,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,V,Square J5d,,http://opencontext.org/subjects/3E70B16C-43C2-4F4A-6AD0-850C4F5ECF6D,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-26T00:00:00Z,2020-03-28T05:58:46Z,Sheep/goat,Sheep or goat,mandible,,,16,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Left,Ovis/Capra,Levent Atici,Not applicable,1,1
