Early BCE/CE,Late BCE/CE,Biological Taxonomy,Taxonomic Identifier,Anatomical Identification,Element,Taxonomic ID,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Capra aegagrus,Capra aegagrus,mandible,Mandible with teeth,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-12500,-12100,"Dama dama (Linnaeus, 1758)",Dama dama,mandible,Mandible with teeth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,mandible,Mandible with teeth,Dama dama,,,,,,,,,,,,,,,,,,,,
-12500,-12100,"Dama dama (Linnaeus, 1758)",Dama dama,mandible,Mandible with teeth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
