Early BCE/CE,Late BCE/CE,Biological Taxonomy,Taxonomic Identifier,Anatomical Identification,Element,Taxonomic ID,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Capra aegagrus,Capra aegagrus,mandible,Mandible with teeth,Capra aegagrus,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
-17850,-17050,Ovis orientalis,Ovis orientalis,mandible,Mandible with teeth,Ovis orientalis,,,,,,,,,,,,,,,,,,,
