Early BCE/CE,Late BCE/CE,Biological Taxonomy,Taxonomic Identifier,Anatomical Identification,Element,Taxonomic ID,Analysis Notes,Certainty
-6200,-5500,Sheep/goat,Sheep or goat,mandible,mandible with teeth,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,cervical vertebra 2,axis,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,cervical vertebra 2,axis,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,radius bone,radius,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,cervical vertebra 2,axis,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,Equus sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,innominate bone,pelvis,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Capra,Capra,proximal phalanx,phalanx 1,Capra sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,small/medium equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,fused metatarsal bones 3 and 4,metatarsus III + IV,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,innominate bone,pelvis,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,innominate bone,pelvis,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Capra,Capra,innominate bone,pelvis,Capra sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,small/medium equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Capra,Capra,humerus,humerus,Capra sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,innominate bone,pelvis,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,innominate bone,pelvis,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,radius bone,radius,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Ovis,Ovis,humerus,humerus,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,small/medium equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,proximal phalanx,phalanx 1,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,incisor tooth,loose tooth,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,proximal phalanx,phalanx 1,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Capra,Capra,ulna,ulna,Capra sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,innominate bone,pelvis,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,incisor tooth,loose tooth,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,radius bone,radius,Ovis sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,radius bone,radius,Ovis sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,incisor tooth,loose tooth,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,tibia,tibia,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,radius bone,radius,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Ovis,Ovis,radius bone,radius,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Capra,Capra,radius bone,radius,Capra sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,proximal phalanx,phalanx 1,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,middle phalanx,phalanx 2,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,proximal phalanx,phalanx 1,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,cervical vertebra 2,axis,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,fused metacarpal bones 3 and 4,metacarpus III + IV,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,Equus sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,innominate bone,pelvis,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Capra,Capra,fused metacarpal bones 3 and 4,metacarpus III + IV,Capra sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,incisor tooth,loose tooth,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,middle phalanx,phalanx 2,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,radius bone,radius,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Bos,Bos,proximal phalanx,phalanx 1,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,small/medium equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,innominate bone,pelvis,small/medium equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,humerus,humerus,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,small/medium equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,incisor tooth,loose tooth,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,incisor tooth,loose tooth,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,innominate bone,pelvis,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Capra,Capra,humerus,humerus,Capra sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Bos,Bos,fused metatarsal bones 3 and 4,metatarsus III + IV,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Capra,Capra,radius bone,radius,Capra sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Bos,Bos,humerus,humerus,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Capra,Capra,radius bone,radius,Capra sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,incisor tooth,loose tooth,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,humerus,humerus,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Ovis,Ovis,innominate bone,pelvis,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Ovis,Ovis,fused metatarsal bones 3 and 4,metatarsus III + IV,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,cervical vertebra 2,axis,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,cervical vertebra 2,axis,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Ovis,Ovis,cervical vertebra 2,axis,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Bos,Bos,humerus,humerus,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,incisor tooth,loose tooth,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,cervical vertebra 2,axis,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,radius bone,radius,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,radius bone,radius,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,radius bone,radius,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Ovis,Ovis,radius bone,radius,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Bos,Bos,tibia,tibia,Bos sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,small/medium equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,cervical vertebra 2,axis,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,radius bone,radius,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,radius bone,radius,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,radius bone,radius,Ovis sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,radius bone,radius,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,proximal phalanx,phalanx 1,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,incisor tooth,loose tooth,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,small/medium equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,proximal phalanx,phalanx 1,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,proximal phalanx,phalanx 1,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Ovis,Ovis,middle phalanx,phalanx 2,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Ovis,Ovis,innominate bone,pelvis,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,tibia,tibia,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,tibia,tibia,Bos sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,innominate bone,ilium + ischium,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,fused metacarpal bones 3 and 4,metacarpus III + IV,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Ovis,Ovis,humerus,humerus,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,Equus sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,fused metatarsal bones 3 and 4,metatarsus III + IV,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,proximal phalanx,phalanx 1,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,proximal phalanx,phalanx 1,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,proximal phalanx,phalanx 1,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,humerus,humerus,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Bos,Bos,fused metacarpal bones 3 and 4,metacarpus III + IV,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,humerus,humerus,Ovis sp.,All taxa recorded,not sure (less than 66% confidence)
-6200,-5500,Capra,Capra,humerus,humerus,Capra sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Bos,Bos,proximal phalanx,phalanx 1,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,tibia,tibia,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Ovis,Ovis,tibia,tibia,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Bos,Bos,proximal phalanx,phalanx 1,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,middle phalanx,phalanx 2,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,humerus,humerus,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,Equus sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Ovis,Ovis,humerus,humerus,Ovis sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Ovis,Ovis,tibia,tibia,Ovis sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,incisor tooth,loose tooth,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,femur,femur,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Bos,Bos,proximal phalanx,phalanx 1,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Capra,Capra,radius bone,radius,Capra sp.,All taxa recorded,maybe? (c. 66% confidence)
-6200,-5500,Bos,Bos,proximal phalanx,phalanx 1,Bos sp.,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,femur,femur,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Sheep/goat,Sheep or goat,femur,femur,Ovis/Capra,All taxa recorded,certain (over 90% confidence)
-6200,-5500,Equidae,Equidae,proximal phalanx,phalanx 1,large equid,All taxa recorded,certain (over 90% confidence)
