Early BCE/CE,Late BCE/CE,Taxonomic ID,,Taxonomic ID Summary,Count,,Total,,Row Labels
-17850,-17050,Ovis orientalis,,Accipitridae,21,,5122,,Accipitridae
-17850,-17050,Ovis orientalis,,Alectoris chukar,42,,,,Alectoris chukar
-17850,-17050,Ovis/Capra,,Bos primigenius,4,,,,Bos primigenius
-17850,-17050,Ovis orientalis,,Canis lupus,9,,,,Canis lupus
-17850,-17050,Ovis orientalis,,Capra aegagrus,362,,,,Capra aegagrus
-17850,-17050,Ovis orientalis,,Capreolus capreolus,4,,,,Capreolus capreolus
-17850,-17050,Ovis orientalis,,Columba sp.,3,,,,Columba sp.
-17850,-17050,Ovis/Capra,,Dama dama,11,,,,Dama dama
-17850,-17050,Ovis orientalis,,Large bird,53,,,,Large bird
-17850,-17050,Ovis orientalis,,Lepus europaeus,48,,,,Lepus europaeus
-17850,-17050,Ovis orientalis,,Lynx lynx,5,,,,Lynx lynx
-17850,-17050,Ovis orientalis,,Martes martes,1,,,,Martes martes
-17850,-17050,Capra aegagrus,,Medium bird,35,,,,Medium bird
-17850,-17050,Ovis orientalis,,Otis tarda,18,,,,Otis tarda
-17850,-17050,Ovis/Capra,,Ovis orientalis,900,,,,Ovis orientalis
-17850,-17050,Ovis orientalis,,Ovis/Capra,3571,,,,Ovis/Capra
-17850,-17050,Ovis orientalis,,Small bird,13,,,,Small bird
-17850,-17050,Ovis orientalis,,Small mammal (rabbit to medium dog),5,,,,Small mammal (rabbit to medium dog)
-17850,-17050,Ovis orientalis,,Sus scrofa,9,,,,Sus scrofa
-17850,-17050,Ovis orientalis,,Ursus arctos,1,,,,Ursus arctos
-17850,-17050,Ovis orientalis,,Vulpes vulpes,7,,,,Vulpes vulpes
-17850,-17050,Ovis orientalis,,,,,,,(blank)
-17850,-17050,Ovis orientalis,,,,,,,Grand Total
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Sus scrofa,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Bos primigenius,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Bos primigenius,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Capra aegagrus,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis/Capra,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
-17850,-17050,Ovis orientalis,,,,,,,
