Early BCE/CE,Late BCE/CE,Taxonomic ID,,Taxonomic ID Summary,Count,,Total,,Row Labels
-6200,-5500,Ovis/Capra,,Aves,30,,7875,,Aves
-6200,-5500,Ovis/Capra,,Bos sp.,492,,,,Bos sp.
-6200,-5500,Bos sp.,,Capra aegagrus/hircus,2,,,,Capra aegagrus/hircus
-6200,-5500,Ovis sp.,,Capra sp.,335,,,,Capra sp.
-6200,-5500,large equid,,Capreolus,1,,,,Capreolus
-6200,-5500,Ovis/Capra,,Equus sp.,634,,,,Equus sp.
-6200,-5500,Equus sp.,,Erinaceid,4,,,,Erinaceid
-6200,-5500,Ovis sp.,,large cervid,14,,,,large cervid
-6200,-5500,Capra sp.,,large equid,710,,,,large equid
-6200,-5500,small/medium equid,,large mammal (Bos),330,,,,large mammal (Bos)
-6200,-5500,Ovis sp.,,large to medium-sized mammal (large Sus),1,,,,large to medium-sized mammal (large Sus)
-6200,-5500,large equid,,large-sized artiodactyl,80,,,,large-sized artiodactyl
-6200,-5500,Ovis sp.,,Lepus sp.,71,,,,Lepus sp.
-6200,-5500,Ovis/Capra,,medium-sized artiodactyl (mostly Ovis/Capra/deer),185,,,,medium-sized artiodactyl (mostly Ovis/Capra/deer)
-6200,-5500,Capra sp.,,medium-sized bovid,1,,,,medium-sized bovid
-6200,-5500,large equid,,medium-sized bovid/cervid,726,,,,medium-sized bovid/cervid
-6200,-5500,large equid,,medium-sized canid,38,,,,medium-sized canid
-6200,-5500,small/medium equid,,medium-sized cervid,17,,,,medium-sized cervid
-6200,-5500,Capra sp.,,medium-sized mammal (Ovis/Capra/Gazella),279,,,,medium-sized mammal (Ovis/Capra/Gazella)
-6200,-5500,Ovis/Capra,,Meles meles,3,,,,Meles meles
-6200,-5500,Ovis/Capra,,Ovis sp.,1132,,,,Ovis sp.
-6200,-5500,large equid,,Ovis/Capra,2275,,,,Ovis/Capra
-6200,-5500,Ovis sp.,,Ovis/Capra/Gazella,2,,,,Ovis/Capra/Gazella
