Early BCE/CE,Late BCE/CE,Taxonomic ID,,Taxonomic ID Summary,Count,Total,,Row Labels
-17840,-10950,Ovis orientalis,,Accipitridae,3,6386,,Accipitridae
-12500,-12100,Capra aegagrus,,Alectoris chukar,7,,,Alectoris chukar
-12500,-12100,Dama dama,,Anatidae,4,,,Anatidae
-17840,-10950,Ovis orientalis,,Anoura,2,,,Anoura
-17840,-10950,Dama dama,,Arvicolid,1,,,Arvicolid
-12500,-12100,Dama dama,,Bufonid,6,,,Bufonid
-17840,-10950,Ovis orientalis,,Canis lupus,2,,,Canis lupus
-17840,-10950,Ovis/Capra,,Capra aegagrus,241,,,Capra aegagrus
-17840,-10950,Ovis/Capra,,Capreolus capreolus,44,,,Capreolus capreolus
-17840,-10950,Ovis/Capra,,Cervus elaphus,11,,,Cervus elaphus
-17840,-10950,Ovis orientalis,,Citellus citellus,3,,,Citellus citellus
-12500,-12100,Ovis orientalis,,Cricetus cricetus,1,,,Cricetus cricetus
-17840,-10950,Ovis orientalis,,Dama dama,808,,,Dama dama
-17840,-10950,Ovis orientalis,,Felis silvestris,5,,,Felis silvestris
-17840,-10950,Dama dama,,Hystricid,1,,,Hystricid
-17840,-10950,Ovis orientalis,,Lacertid,2,,,Lacertid
-17840,-10950,Dama dama,,Large bird,34,,,Large bird
-12500,-12100,Dama dama,,Lepus europaeus,25,,,Lepus europaeus
-11900,-11700,Dama dama,,Lynx lynx,1,,,Lynx lynx
-17840,-10950,Ovis/Capra,,Martes martes,13,,,Martes martes
-17840,-10950,Ovis/Capra,,Medium artiodactyl,1197,,,Medium artiodactyl
-17840,-10950,Ovis/Capra,,Medium bird,154,,,Medium bird
-17840,-10950,Ovis orientalis,,Ovis orientalis,631,,,Ovis orientalis
-17840,-10950,Ovis/Capra,,Ovis/Capra,2968,,,Ovis/Capra
-17840,-10950,Ovis orientalis,,Ranid,3,,,Ranid
-17840,-10950,Dama dama,,Rodent,30,,,Rodent
-17840,-10950,Ovis orientalis,,Sciurid,5,,,Sciurid
-17840,-10950,Ovis/Capra,,Small bird,31,,,Small bird
-17840,-10950,Ovis/Capra,,Small carnivore,16,,,Small carnivore
-17840,-10950,Ovis/Capra,,Small mammal (rabbit size),68,,,Small mammal (rabbit size)
-17840,-10950,Ovis orientalis,,Sus scrofa,26,,,Sus scrofa
-17840,-10950,Ovis/Capra,,Testudo graeca,20,,,Testudo graeca
-17840,-10950,Ovis orientalis,,Vulpes vulpes,23,,,Vulpes vulpes
-17840,-10950,Ovis orientalis,,,,,,(blank)
-17840,-10950,Ovis orientalis,,,,,,Grand Total
-17840,-10950,Ovis orientalis,,,,,,
-17840,-10950,Ovis orientalis,,,,,,
-17840,-10950,Capra aegagrus,,,,,,
-17840,-10950,Ovis orientalis,,,,,,
